DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,Cost Savings (RM),Cumulative Cost Savings (RM),Negative Cost Savings Flag
2025-04-22 01:30:00,1447.6,2721.0103,1273.4103,636.70515,7485805.94135361,0,232.39737975,2732319.1685940996,0
2025-04-22 02:00:00,43.39999999999999,2696.9382,2653.5382,1326.7691,7487132.71045361,0,484.2707215,2732803.4393155994,0
2025-04-22 02:30:00,882.4,2539.5122,1657.1122,828.5561,7487961.26655361,0,302.4229765,2733105.8622920993,0
2025-04-22 03:00:00,144.2,2534.3984,2390.1984,1195.0992,7489156.36575361,0,436.21120800000006,2733542.073500099,0
2025-04-22 03:30:00,775.8,2792.1602,2016.3602,1008.1801,7490164.54585361,0,367.98573650000003,2733910.059236599,0
2025-04-22 04:00:00,956.0,2592.901,1636.9009999999998,818.4504999999999,7490982.99635361,0,298.73443249999997,2734208.793669099,0
2025-04-22 04:30:00,325.2,2731.7988,2406.5988,1203.2994,7492186.29575361,0,439.20428100000004,2734647.997950099,0
2025-04-22 05:00:00,42.99999999999999,2663.6545,2620.6545,1310.32725,7493496.62300361,0,478.26944625,2735126.267396349,0
2025-04-22 05:30:00,1270.2,2912.8545,1642.6545,821.3272499999999,7494317.95025361,0,299.78444625,2735426.051842599,0
2025-04-22 06:00:00,43.20000000000001,2866.2476,2823.0476000000003,1411.5238000000002,7495729.47405361,0,515.206187,2735941.258029599,0
2025-04-22 06:30:00,741.4,2740.8665,1999.4665,999.73325,7496729.20730361,0,364.90263625,2736306.160665849,0
2025-04-22 07:00:00,1064.8,2782.492,1717.6920000000002,858.8460000000001,7497588.05330361,0,313.47879000000006,2736619.6394558493,0
2025-04-22 07:30:00,598.8,2860.6582,2261.8582,1130.9290999999998,7498718.98240361,0,412.7891214999999,2737032.4285773495,0
2025-04-22 08:00:00,353.0,2779.3884,2426.3884,1213.1942,7499932.17660361,0,442.8158829999999,2737475.2444603494,0
2025-04-22 08:30:00,2842.8,2793.2434,-49.55660000000034,-24.77830000000017,7499907.398303609,1,-9.044079500000061,2737466.2003808497,1
2025-04-22 09:00:00,2019.2,2815.675,796.4750000000001,398.23750000000007,7500305.635803609,0,145.35668750000002,2737611.55706835,0
2025-04-22 09:30:00,1037.0,2817.6333,1780.6333,890.31665,7501195.95245361,0,324.96557724999997,2737936.5226455997,0
2025-04-22 10:00:00,1010.0,2832.2942,1822.2942,911.1471,7502107.099553609,0,332.5686915,2738269.0913370997,0
2025-04-22 10:30:00,1053.4,2826.2917,1772.8917,886.4458500000001,7502993.545403609,0,323.55273525,2738592.6440723496,0
2025-04-22 11:00:00,4754.6,2828.7944,-1925.8056,-962.9028,7502030.642603609,1,-351.459522,2738241.1845503496,1
2025-04-22 11:30:00,2414.8,2810.0022,395.2021999999997,197.60109999999983,7502228.243703608,0,72.12440149999993,2738313.3089518496,0
2025-04-22 12:00:00,1563.6,2820.048,1256.448,628.2239999999999,7502856.467703609,0,229.30175999999997,2738542.6107118498,0
2025-04-22 12:30:00,1720.2,2802.615,1082.4149999999995,541.2074999999999,7503397.675203608,0,197.54073749999995,2738740.1514493497,0
2025-04-22 13:00:00,1744.4,2808.9075,1064.5074999999997,532.2537499999999,7503929.928953608,0,194.27261874999994,2738934.4240681,0
2025-04-22 13:30:00,2521.0,2801.3503,280.35030000000006,140.17515000000003,7504070.104103608,0,51.16392975000001,2738985.58799785,0
2025-04-22 14:00:00,2724.2,2800.5166,76.31660000000011,38.15830000000005,7504108.262403608,0,13.927779500000018,2738999.51577735,0
2025-04-22 14:30:00,2482.6,2849.3135,366.7135000000003,183.35675000000012,7504291.619153609,0,66.92521375000004,2739066.4409911,0
2025-04-22 15:00:00,2379.0,2838.4658,459.4658,229.7329,7504521.352053609,0,83.8525085,2739150.2934996,0
2025-04-22 15:30:00,2321.8,2822.839,501.03899999999976,250.51949999999988,7504771.871553609,0,91.43961749999995,2739241.7331171003,0
2025-04-22 16:00:00,1966.8,2820.969,854.1690000000001,427.0845000000001,7505198.956053609,0,155.88584250000002,2739397.6189596,0
