DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,TOU Period,TOU Rate (RM/kWh),TOU Cost Savings (RM),Cumulative TOU Cost Savings (RM),Negative TOU Savings Flag
2024-05-02 00:00:00,847.8,3062.344,2214.544,1107.272,1107.272,0,offpeak,0.281,311.143432,311.143432,0
2024-05-02 00:30:00,690.6,3057.5166,2366.9166,1183.4583,2290.7303,0,offpeak,0.281,332.5517823,643.6952143000001,0
2024-05-02 01:00:00,702.2,3052.1907,2349.9907000000003,1174.99535,3465.7256500000003,0,offpeak,0.281,330.17369335,973.8689076500001,0
2024-05-02 01:30:00,669.2,3048.1553,2378.9553,1189.4776499999998,4655.2033,0,offpeak,0.281,334.24321964999996,1308.1121273,0
2024-05-02 02:00:00,678.8,3041.6309,2362.8309,1181.41545,5836.61875,0,offpeak,0.281,331.97774145,1640.08986875,0
2024-05-02 02:30:00,640.4,3036.3782,2395.9782,1197.9891,7034.607849999999,0,offpeak,0.281,336.63493710000006,1976.7248058500002,0
2024-05-02 03:00:00,673.06666666,3034.4084,2361.34173334,1180.67086667,8215.27871667,0,offpeak,0.281,331.76851353427,2308.4933193842703,0
2024-05-02 03:30:00,620.13333334,3032.21,2412.07666666,1206.03833333,9421.31705,0,offpeak,0.281,338.89677166573,2647.39009105,0
2024-05-02 04:00:00,649.4,3032.4058,2383.0058,1191.5029,10612.81995,0,offpeak,0.281,334.81231490000005,2982.20240595,0
2024-05-02 04:30:00,614.8,3031.199,2416.3990000000003,1208.1995000000002,11821.01945,0,offpeak,0.281,339.5040595000001,3321.70646545,0
2024-05-02 05:00:00,642.2,3037.7988,2395.5988,1197.7994,13018.81885,0,offpeak,0.281,336.58163140000005,3658.28809685,0
2024-05-02 05:30:00,631.2,3042.68,2411.48,1205.7399999999998,14224.55885,0,offpeak,0.281,338.81293999999997,3997.1010368499997,0
2024-05-02 06:00:00,652.6,3049.6917,2397.0917,1198.54585,15423.1047,0,offpeak,0.281,336.79138385000005,4333.8924207,0
2024-05-02 06:30:00,671.8,3077.7393,2405.9393,1202.96965,16626.07435,0,offpeak,0.281,338.03447165000006,4671.92689235,0
2024-05-02 07:00:00,855.0,3099.7407,2244.7407,1122.37035,17748.4447,0,offpeak,0.281,315.38606835,4987.3129607,0
2024-05-02 07:30:00,1790.0,3107.5251,1317.5250999999998,658.7625499999999,18407.20725,0,offpeak,0.281,185.11227655,5172.4252372500005,0
2024-05-02 08:00:00,2235.4,3109.732,874.3319999999999,437.166,18844.37325,0,mid,0.357,156.068262,5328.49349925,0
2024-05-02 08:30:00,2654.2,3110.7278,456.5278000000003,228.26390000000012,19072.63715,0,mid,0.357,81.49021230000004,5409.98371155,0
2024-05-02 09:00:00,2620.6,3111.1511,490.5511000000001,245.27555000000007,19317.9127,0,mid,0.357,87.56337135000003,5497.5470829000005,0
2024-05-02 09:30:00,2683.0,3111.4707,428.4706999999999,214.23534999999995,19532.14805,0,mid,0.357,76.48201994999998,5574.0291028500005,0
2024-05-02 10:00:00,2844.4,3111.364,266.96399999999994,133.48199999999997,19665.63005,0,peak,0.584,77.95348799999998,5651.982590850001,0
2024-05-02 10:30:00,2538.8,3110.6528,571.8527999999997,285.92639999999983,19951.55645,0,peak,0.584,166.9810175999999,5818.963608450001,0
2024-05-02 11:00:00,3058.6,3108.9495,50.34950000000026,25.17475000000013,19976.7312,0,peak,0.584,14.702054000000075,5833.665662450001,0
2024-05-02 11:30:00,2482.8,3109.0767,626.2766999999999,313.13834999999995,20289.869550000003,0,peak,0.584,182.87279639999997,6016.538458850001,0
2024-05-02 12:00:00,2957.0,3110.4817,153.48169999999982,76.74084999999991,20366.6104,0,peak,0.584,44.81665639999994,6061.355115250001,0
2024-05-02 12:30:00,2386.4,3108.191,721.7909999999997,360.8954999999999,20727.5059,0,peak,0.584,210.76297199999993,6272.118087250001,0
2024-05-02 13:00:00,2941.6,3108.0933,166.4933000000001,83.24665000000005,20810.75255,0,peak,0.584,48.616043600000026,6320.734130850001,0
2024-05-02 13:30:00,2446.6,3108.1465,661.5464999999999,330.77325,21141.5258,0,peak,0.584,193.171578,6513.905708850001,0
2024-05-02 14:00:00,3020.4,3107.4858,87.08579999999984,43.54289999999992,21185.0687,0,mid,0.357,15.54481529999997,6529.450524150001,0
2024-05-02 14:30:00,2703.2,3107.2546,404.0546000000004,202.0273000000002,21387.096,0,mid,0.357,72.12374610000006,6601.574270250001,0
2024-05-02 15:00:00,3045.6,3104.855,59.25500000000011,29.62750000000005,21416.7235,0,mid,0.357,10.577017500000018,6612.151287750001,0
2024-05-02 15:30:00,2661.4,3103.5334,442.1333999999997,221.06669999999983,21637.7902,0,mid,0.357,78.92081189999993,6691.07209965,0
2024-05-02 16:00:00,2998.8,3102.1765,103.37649999999984,51.688249999999925,21689.47845,0,mid,0.357,18.452705249999973,6709.5248049,0
2024-05-02 16:30:00,2276.66666666,3101.3362,824.6695333400003,412.33476667000014,22101.81321667,0,mid,0.357,147.20351170119005,6856.72831660119,0
2024-05-02 17:00:00,2451.33333334,3097.6934,646.36006666,323.18003333,22424.99325,0,mid,0.357,115.37527189881,6972.1035885,0
2024-05-02 17:30:00,1399.2,3093.927,1694.727,847.3635,23272.35675,0,mid,0.357,302.5087695,7274.612358,0
2024-05-02 18:00:00,1089.2,3091.2937,2002.0937,1001.04685,24273.4036,0,mid,0.357,357.37372544999994,7631.9860834500005,0
2024-05-02 18:30:00,962.8,3090.097,2127.2970000000005,1063.6485000000002,25337.0521,0,mid,0.357,379.72251450000005,8011.708597950001,0
2024-05-02 19:00:00,985.6,3089.8855,2104.2855,1052.14275,26389.19485,0,mid,0.357,375.61496174999996,8387.3235597,0
