DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,CO2 Avoided (kg),Cumulative CO2 Avoided (kg),Cumulative CO2 Avoided (tonnes)
2025-06-27 17:00:00,1330.0,2413.9875,1083.9875000000002,541.9937500000001,9228510.57815926,0,419.5031625000001,7142867.187495329,7142.86718749533
2025-06-27 17:30:00,1105.6,2395.7085,1290.1085000000005,645.0542500000001,9229155.63240926,0,499.27198950000013,7143366.45948483,7143.36645948483
2025-06-27 18:00:00,531.8,2326.5842,1794.7841999999998,897.3920999999999,9230053.02450926,0,694.5814853999999,7144061.04097023,7144.061040970229
2025-06-27 18:30:00,430.2,2397.6619,1967.4619,983.73095,9231036.75545926,0,761.4077553000001,7144822.44872553,7144.82244872553
2025-06-27 19:00:00,391.8,2292.0764,1900.2764,950.1382,9231986.89365926,0,735.4069668,7145557.85569233,7145.55785569233
2025-06-27 19:30:00,329.6,2235.3215,1905.7215,952.86075,9232939.75440926,0,737.5142205000001,7146295.36991283,7146.29536991283
2025-06-27 20:00:00,326.2,2298.2441,1972.0441,986.02205,9233925.776459262,0,763.1810667000001,7147058.55097953,7147.05855097953
2025-06-27 20:30:00,329.6,2299.3772,1969.7772,984.8886,9234910.66505926,0,762.3037764000001,7147820.854755931,7147.820854755931
2025-06-27 21:00:00,331.8,2311.676,1979.876,989.938,9235900.60305926,0,766.212012,7148587.066767931,7148.587066767931
2025-06-27 21:30:00,327.4,2325.5723,1998.1723,999.08615,9236899.68920926,0,773.2926801,7149360.359448031,7149.360359448031
2025-06-27 22:00:00,319.4,2324.0618,2004.6618,1002.3309,9237902.02010926,0,775.8041166,7150136.163564631,7150.136163564631
2025-06-27 22:30:00,296.2,2307.855,2011.655,1005.8275,9238907.84760926,0,778.510485,7150914.674049631,7150.914674049631
2025-06-27 23:00:00,71.00000000000001,2228.7856,2157.7856,1078.8928,9239986.74040926,0,835.0630272000001,7151749.737076831,7151.7497370768315
2025-06-27 23:30:00,63.4,2093.866,2030.466,1015.233,9241001.97340926,0,785.790342,7152535.527418831,7152.535527418831
2025-06-28 00:00:00,63.600000000000016,2050.5476,1986.9476,993.4738,9241995.44720926,0,768.9487212,7153304.476140032,7153.3044761400315
2025-06-28 00:30:00,63.4,2036.3129,1972.9129,986.45645,9242981.90365926,0,763.5172923,7154067.993432332,7154.067993432332
2025-06-28 01:00:00,58.99999999999999,1988.4572,1929.4572,964.7286,9243946.63225926,0,746.6999364000001,7154814.693368732,7154.814693368732
2025-06-28 01:30:00,58.99999999999999,1961.7266,1902.7266,951.3633,9244897.995559258,0,736.3551942,7155551.048562932,7155.551048562932
2025-06-28 02:00:00,57.2,1941.9049,1884.7049,942.35245,9245840.34800926,0,729.3807963,7156280.429359232,7156.280429359232
2025-06-28 02:30:00,55.79999999999999,1923.2474,1867.4474,933.7237,9246774.071709258,0,722.7021438,7157003.1315030325,7157.003131503033
