DateTime,Actual,Baseline,Savings_kW,Savings_kWh,Cumulative_Savings_kWh
2024-03-10 03:00:00,337.1538333333333,313.7947,-23.359133333333318,-11.679566666666659,12713.378919431472
2024-03-10 03:30:00,336.0196666666667,315.14142,-20.878246666666712,-10.439123333333356,12702.939796098139
2024-03-10 04:00:00,334.6393333333333,316.55023,-18.0891033333333,-9.04455166666665,12693.895244431473
2024-03-10 04:30:00,331.1166666666667,323.36743,-7.749236666666661,-3.8746183333333306,12690.02062609814
2024-03-10 05:00:00,338.7945,323.08997,-15.704530000000034,-7.852265000000017,12682.16836109814
2024-03-10 05:30:00,327.29016666666666,336.2438,8.953633333333357,4.476816666666679,12686.645177764807
2024-03-10 06:00:00,315.43025,316.75494,1.3246899999999755,0.6623449999999877,12687.307522764808
2024-03-10 06:30:00,290.2680833333333,307.47577,17.20768666666669,8.603843333333344,12695.911366098142
2024-03-10 07:00:00,289.7705,284.7258,-5.044700000000034,-2.522350000000017,12693.389016098143
2024-03-10 07:30:00,274.49833333333333,294.27826,19.779926666666654,9.889963333333327,12703.278979431476
2024-03-10 08:00:00,289.05133333333333,273.81274,-15.238593333333313,-7.619296666666656,12695.65968276481
2024-03-10 08:30:00,308.9498333333333,304.0723,-4.877533333333304,-2.438766666666652,12693.220916098144
2024-03-10 09:00:00,283.4365,321.0865,37.64999999999998,18.82499999999999,12712.045916098145
2024-03-10 09:30:00,275.0958333333333,299.69702,24.601186666666706,12.300593333333353,12724.346509431478
2024-03-10 10:00:00,278.41016666666667,304.4741,26.063933333333352,13.031966666666676,12737.378476098145
2024-03-10 10:30:00,281.7245,329.08728,47.36278000000004,23.68139000000002,12761.059866098145
2024-03-10 11:00:00,243.02975,305.11322,62.083470000000005,31.041735000000003,12792.101601098146
2024-03-10 11:30:00,320.8450555555555,293.15585,-27.68920555555553,-13.844602777777766,12778.256998320368
2024-03-10 12:00:00,398.660361111111,374.67715,-23.983211111111018,-11.991605555555509,12766.265392764813
2024-03-10 12:30:00,476.4756666666665,432.39328,-44.08238666666648,-22.04119333333324,12744.22419943148
2024-03-10 13:00:00,493.7656666666667,499.36664,5.600973333333343,2.8004866666666715,12747.024686098148
2024-03-10 13:30:00,424.5266666666668,509.81058,85.2839133333332,42.6419566666666,12789.666642764814
2024-03-10 14:00:00,306.1153333333333,448.18042,142.06508666666673,71.03254333333336,12860.699186098147
2024-03-10 14:30:00,378.3561666666668,331.0653,-47.29086666666683,-23.645433333333415,12837.053752764814
2024-03-10 15:00:00,450.59700000000015,417.89267,-32.70433000000014,-16.35216500000007,12820.701587764814
2024-03-10 15:30:00,300.3336666666668,484.44733,184.11366333333325,92.05683166666662,12912.75841943148
2024-03-10 16:00:00,342.0028333333334,333.71368,-8.289153333333388,-4.144576666666694,12908.613842764813
2024-03-10 16:30:00,370.3101666666668,379.4899,9.17973333333316,4.58986666666658,12913.20370943148
2024-03-10 17:00:00,352.5867500000001,406.63525,54.048499999999876,27.024249999999938,12940.22795943148
2024-03-10 17:30:00,333.3595,384.6288,51.26929999999999,25.634649999999993,12965.86260943148
2024-03-10 18:00:00,321.6501666666667,366.4861,44.835933333333344,22.417966666666672,12988.280576098146
2024-03-10 18:30:00,354.2941666666667,359.60657,5.312403333333293,2.6562016666666466,12990.936777764813
2024-03-10 19:00:00,381.1838333333333,390.4493,9.265466666666669,4.632733333333334,12995.569511098147
2024-03-10 19:30:00,383.8548333333333,414.04803,30.193196666666665,15.096598333333333,13010.66610943148
2024-03-10 20:00:00,367.971,407.37552,39.40451999999999,19.702259999999995,13030.36836943148
2024-03-10 20:30:00,375.0185,395.6342,20.615700000000004,10.307850000000002,13040.67621943148
2024-03-10 21:00:00,378.6684166666667,402.01743,23.34901333333329,11.674506666666645,13052.350726098146
2024-03-10 21:30:00,414.0985,405.20786,-8.890640000000019,-4.4453200000000095,13047.905406098145
2024-03-10 22:00:00,421.5536666666667,436.73434,15.180673333333289,7.590336666666644,13055.495742764811
